name,iso,glottocode,latitude,longitude
Alabama and Choctaw-Chickasaw,akz cic cho,musk1252,31.685553333333328,-87.61149777777779
Albanian,aln,gheg1238,42.317,21.3837
Alsea,aes,alse1251,44.408,-123.94
Amuesha,ame,yane1238,-10.5454,-75.315
Ancient Greek,grc,anci1242,39.8155,21.9129
Arabic,apc,nort3139,34.1709,36.0468
Arabic,arb,stan1318,27.9625,43.8525
Aramaic,hrt,hert1241,37.373,42.5192
Arbëresh Albanian,aae,arbe1236,38.911,16.7164
Arvanitic Albanian,aat,arva1236,38.283,23.3703
Assamese,asm,assa1263,26.0876,91.2932
Aymara,ayr,cent2142,-17.0,-68.5
Azari,azb,sout2697,36.5137,48.4302
Azeri,azb azj,azer1255,38.745689999999996,47.45195
Banjar Malay,bjn,banj1239,0.747105,115.79
Baram,brd,bara1357,28.3768,85.0584
Basque,eus,basq1248,43.2787,-1.31622
Belarusian,bel,bela1254,53.2307,25.6038
Bella Coola,blc,bell1243,52.3448,-126.689
Bilin,byn,bili1260,15.7833,38.3917
Bora,boa,bora1263,-2.000259,-72.257066
Bosnian/Croatian/Serbian,srp,sout1528,44.15,18.81
Brahui,brh,brah1256,29.04,66.56
Bulgarian,bul,bulg1262,43.3646,25.047
Cajamarca Quechua,qvc,caja1238,-7.09314,-78.3214
Cappadocian Greek,ell,mode1248,38.36,23.13
Caquinte,cot,caqu1242,-11.4812,-73.4451
"Carapana, Tatuyo, Wáimaja, and Yurutí",tav,east2702,0.584605625,-69.810456125
Carib,car,gali1262,5.83772,-56.8323
Central Asian Turkic,tat,tata1255,55.79592,49.11577
Central Siberian Yupik Eskimo,ess,cent2128,63.4308,-170.272
Chabacano,cbk,chav1241,7.435034,122.18849
Chaldean Neo-Aramaic,cld,chal1275,37.0972,43.5027
Chamacoco,ceg,cham1315,-20.5899,-58.2005
Chantyal,chx,chan1310,28.684,83.4488
Chinese,cmn,mand1415,40.0209,116.228
Chinese of Línxìa/Hézōu,cmn,hezh1244,35.59,103.197
Cho’ol,chf,taba1266,18.1713,-92.7367
Chukchi,ckt,chuk1273,68.6436,170.045
Chuvash,chv,chuv1255,55.48701,47.16298
Coos,csz,coos1249,43.4413,-124.16
Copper Island Aleut,ale,aleu1260,52.1228,-174.29
Croatian,hrv,croa1245,45.555,15.982
Cushitic,som,soma1255,4.778704,45.152856
Cypriot Arabic,acy,cypr1248,35.1674,33.0943
Dagur,dta,daur1238,48.0,124.0
Danish,dan,dani1285,54.8655,9.36284
Dutch,nld,dutc1256,52.0,5.0
Eastern Tucanoan languages,tuo,east2698,0.057389423611111094,-70.14980529166667
English,eng,stan1293,53.0,-1.0
Estonian,ekk,esto1258,58.55,25.82
Evenki,evn,even1259,61.972,94.689
Finnish,fin,finn1318,64.7628,25.5577
French,fra,stan1290,48.0,2.0
Garifuna,cab,gari1256,15.3529,-86.9091
German,deu,stan1295,48.649,12.4676
Greek,ell,mode1248,38.36,23.13
Guina-ang Bontok,bnc,bont1247,17.09386,121.02662
Gurindji,gue,guri1247,-17.0329,130.379
Gurindji Kriol,rop,krio1252,-18.135,137.669
Gurma,gux,gour1243,11.6711,1.28489
Hasankeyf Arabic,apc,nort3139,34.1709,36.0468
Hawaiian,haw,hawa1245,19.6297,-155.43
Hebrew,heb,hebr1245,31.1056,35.0179
Hindi,hin,hind1269,25.0,77.0
Hungarian,hun,hung1274,46.9068585714,19.6555271429
Ilokano,ilo,ilok1237,15.9361,120.993
Ilwana,mlk,ilwa1237,-0.66322,39.793
Indonesian,ind,indo1316,-7.33458,109.716
"Indonesian, standard",ind,indo1316,-7.33458,109.716
Ingrian Finnish,fin,finn1318,64.7628,25.5577
intermediate Proto-Carib,car,gali1262,5.83772,-56.8323
Iraqi Arabic,acm,meso1252,33.8178,43.1095
Israeli Hebrew,heb,hebr1245,31.1056,35.0179
Istro-Romanian,ruo,istr1245,45.433,14.2
Italian,ita,ital1282,43.0464,12.6489
Japanese,jpn,nucl1643,35.0,135.0
Judeo-Spanish,lad,ladi1251,41.205,28.6632
Kadiwéu,kbc,kadi1248,-19.7222,-57.582
Kalderash Romani,rmy,vlax1238,46.09,18.16
Karelian,krl,kare1335,65.1691,30.8655
Karrwa,gbc,garr1260,-18.05165,137.66406999999998
Kashmiri,kas,kash1277,34.166825,74.330455
Kayardild,gyd,kaya1319,-17.0695,139.489
Khanty,kca,khan1273,62.4308,66.1218
Kharia,khr,khar1287,22.3571,84.3922
Koasati,cku,koas1236,30.4096,-92.709
Kola Saami,sjd,kild1236,68.2158,35.8348
Komi-Zyrian,kpv,komi1268,64.0527,54.946
Kurdish,kmr,nort2641,37.0,43.0
Kurdish,kur,kurd1259,35.18386666666667,45.13510000000001
Kurmanji,kmr,nort2641,37.0,43.0
Kurux,kru,kuru1301,24.46442,86.46568
Latin,lat,lati1261,41.9026,12.4502
Latvian,lvs,stan1325,57.0,24.0
Lezgian,lez,lezg1247,41.5157,47.8951
Libyan Arabic,ayl,liby1240,22.0032,15.0014
Lingala,lin,ling1263,-4.409174,15.28532
Lithuanian,lit,lith1251,55.1429,23.9601
Lithuanian Romani,rml,balt1257,57.29,29.06
Lombardic,lng,high1286,50.0924665,10.411591083333333
Makrān Baluchi,bcc,sout2642,26.0,64.0
Malagasy,plt,plat1254,-19.5907,47.1211
Malay,zsm,stan1306,3.08896,101.699
Maltese,mlt,malt1254,35.8884,14.4508
Manange,nmm,mana1288,28.6416,84.0515
Mandarin,cmn,mand1415,40.0209,116.228
Mari,mhr,east2328,55.8307,48.405
Megleno-Romanian,ruq,megl1237,41.1174,22.3782
Mexicanero de la Sierra Madre Occidental,nln,dura1246,22.637999999999998,-104.76295
Middle Chinese,ltc,midd1344,34.27,108.9
Middle English,enm,midd1317,51.65,-1.11
Middle Low German,gml,midd1318,53.14,9.67
Middle Mongolic,mon,mong1331,45.77047900000001,87.25413566666667
Moghol,mhj,mogh1245,34.25,62.28
Molisano Neapolitan,nap,neap1235,39.2288,16.4225
Mongolian,khk,halh1238,48.32397,106.28874
Moroccan Arabic,ary,moro1292,32.5,-7.5
Moroccan Berber languages,tzm,cent2194,32.7415,-2.40872
Nahuatl,nhn,cent2132,19.1248,-98.3002
Ndunga-le,ndt,ndun1249,2.3886,21.5755
Nepali,nep,east1436,27.5947033333,87.6200833333
Nepali,npi,nepa1254,28.0,85.0
Ngandi,nid,ngan1295,-12.8448,134.649
Nivaclé,cag,niva1238,-22.8557,-61.7606
Norman French,fra,norm1245,49.081,-0.6591
Northern Nyungic,nys,nyun1247,-33.1199,118.151
Northern Tajik,tgk,taji1245,38.8213,68.5549
North Swahili,swh,swah1253,-8.25605,37.624
Nunggubuyu,nuy,nung1290,-14.2623,135.753
Persian,pes,west2369,32.9,53.3
Polish,pol,poli1260,51.8439,18.6255
Portuguese,por,port1283,39.91,-8.1
Proto Wayampi-Emerillon-Zo’é,eme,emer1243,3.23694,-52.3699
Purepecha/Tarascan,tsz,pure1242,19.2467,-101.631
Quapaw,qua,quap1242,34.15,-92.0
Quechua de Puno,qxp,puno1238,-14.608,-70.2084
Quechua,qva,ambo1252,-10.5138,-76.1135
Resígaro,rgr,resi1247,-1.169535,-71.60524
Ritharngu,rit,rita1239,-13.4559,135.259
Romanian,ron,roma1327,46.3913,24.2256
Russian,rus,russ1263,59.0,50.0
Sadri,sck,sadr1248,23.6585,84.8114
Sahaptin,yak,yaki1237,46.2655,-120.756
Sakha,sah,yaku1245,61.69744,133.98031
Sanskrit,san,sans1269,20.0,77.0
Santa,sce,dong1285,35.66354,103.38952
Sebjan-Küöl Ėven,eve,even1260,70.6687,130.914
Semelai,sza,seme1247,2.82799,102.806
Sicilian,scn,sici1248,37.5735,14.0414
Sierra Popoluca,poi,high1276,18.198,-94.9109
Siwi,siz,siwi1239,29.200415,25.519627
Slavomolisano,svm,slav1254,41.89,14.7
Songhay Ciiné,dje,zarm1239,12.8554,2.41173
Sonqor Turkic,tur,sonq1234,36.5137,48.4302
