pk,jsondata,language_pk,identifier_pk,description
1,,1,1,
2,,2,2,
4,,3,4,
6,,4,6,
8,,5,8,
10,,6,10,
12,,7,12,
14,,8,14,
16,,9,16,
18,,10,18,
20,,11,20,
22,,12,22,
24,,13,24,
26,,14,26,
28,,15,28,
30,,16,30,
32,,17,32,
34,,18,34,
36,,19,36,
38,,20,38,
40,,21,40,
42,,22,42,
44,,23,44,
46,,24,46,
49,,26,49,
51,,27,51,
53,,28,53,
56,,30,56,
59,,32,59,
61,,33,61,
63,,34,63,
64,,35,64,
66,,36,66,
68,,37,68,
71,,39,40,
73,,40,73,
75,,41,56,
77,,42,77,
79,,43,79,
81,,44,81,
83,,45,83,
85,,46,85,
87,,47,87,
89,,48,89,
91,,49,91,
93,,50,93,
95,,51,95,
97,,52,97,
99,,53,99,
102,,55,102,
104,,56,104,
106,,57,106,
108,,58,108,
110,,59,110,
112,,60,112,
114,,61,114,
116,,62,116,
118,,63,118,
120,,64,120,
122,,65,122,
124,,66,124,
126,,67,126,
128,,68,128,
130,,69,130,
132,,70,132,
135,,72,135,
137,,73,137,
139,,74,139,
142,,76,142,
144,,77,144,
146,,78,146,
148,,79,148,
150,,80,150,
152,,81,152,
154,,82,154,
156,,83,156,
158,,84,158,
160,,85,160,
162,,86,162,
164,,87,164,
166,,88,166,
168,,89,168,
170,,90,152,
172,,91,172,
174,,92,174,
176,,93,176,
178,,94,178,
180,,95,180,
182,,96,142,
185,,98,185,
187,,99,187,
189,,100,189,
191,,101,191,
193,,102,193,
195,,103,195,
197,,104,197,
199,,105,199,
201,,106,201,
203,,107,30,
205,,108,205,
207,,109,207,
209,,110,209,
211,,111,211,
213,,112,213,
215,,113,215,
217,,114,217,
219,,115,219,
221,,116,221,
223,,117,223,
225,,118,225,
227,,119,124,
229,,120,229,
231,,121,231,
233,,122,233,
235,,123,146,
237,,124,237,
239,,125,239,
241,,126,241,
243,,127,146,
245,,128,245,
247,,129,247,
249,,130,249,
251,,131,251,
253,,132,253,
255,,133,255,
257,,134,257,
259,,135,49,
261,,136,261,
263,,137,263,
267,,140,267,
269,,141,269,
271,,142,271,
273,,143,158,
275,,144,275,
277,,145,277,
279,,146,130,
281,,147,281,
283,,148,283,
285,,149,285,
287,,150,287,
289,,151,289,
291,,152,291,
293,,153,293,
296,,155,296,
298,,156,298,
301,,158,301,
303,,159,303,
