pk,jsondata,pair_pk,source_pk
1,,1,30
2,,1,139
3,,1,36
4,,1,73
5,,2,132
6,,2,231
7,,2,98
8,,3,32
9,,3,177
10,,3,203
11,,4,230
12,,4,94
13,,4,146
14,,4,99
15,,5,185
16,,5,80
17,,6,230
18,,6,146
19,,6,57
20,,7,29
21,,7,197
22,,7,11
23,,8,219
24,,8,126
25,,8,46
26,,8,107
27,,9,96
28,,9,2
29,,9,95
30,,10,101
31,,10,64
32,,10,65
33,,11,59
34,,11,190
35,,11,116
36,,24,221
37,,24,34
38,,24,147
39,,24,173
40,,24,83
41,,24,48
42,,24,82
43,,24,76
44,,24,41
45,,24,176
46,,12,142
47,,12,180
48,,12,18
49,,13,121
50,,13,74
51,,13,222
52,,13,72
53,,13,197
54,,14,128
55,,14,138
56,,14,225
57,,15,8
58,,15,144
59,,15,103
60,,15,52
61,,16,192
62,,16,196
63,,16,93
64,,16,7
65,,17,219
66,,17,126
67,,17,46
68,,17,9
69,,17,107
70,,25,43
71,,25,77
72,,25,55
73,,25,102
74,,18,171
75,,18,79
76,,18,49
77,,19,191
78,,19,226
79,,19,6
80,,19,208
81,,19,81
82,,19,35
83,,19,53
84,,20,58
85,,20,68
86,,21,120
87,,21,92
88,,21,186
89,,22,123
90,,22,74
91,,22,85
92,,22,72
93,,22,3
94,,23,112
95,,23,209
96,,23,224
97,,23,160
98,,23,152
99,,23,189
100,,23,162
101,,23,90
102,,23,60
103,,23,113
104,,23,86
105,,23,216
106,,23,104
107,,26,167
108,,26,92
109,,28,174
110,,28,97
111,,28,191
112,,28,15
113,,28,16
114,,28,17
115,,29,92
116,,29,213
117,,30,182
118,,31,183
119,,31,175
120,,31,151
121,,31,153
122,,31,3
123,,31,197
124,,31,220
125,,31,207
126,,31,47
127,,71,140
128,,71,200
129,,71,84
130,,71,66
131,,32,157
132,,33,158
133,,33,5
134,,34,130
135,,34,100
136,,35,141
137,,35,27
138,,37,88
139,,38,219
140,,38,46
141,,38,107
142,,39,124
143,,39,44
144,,39,125
145,,39,3
146,,40,40
147,,40,202
148,,40,10
149,,40,178
150,,41,199
151,,41,25
152,,42,71
153,,42,168
154,,42,4
155,,42,134
156,,43,134
157,,43,1
158,,43,4
159,,44,78
160,,45,115
161,,46,188
162,,46,221
163,,46,63
164,,46,89
165,,46,217
166,,47,232
167,,47,119
168,,48,228
169,,48,62
170,,49,195
171,,49,170
172,,50,118
173,,50,161
174,,50,198
175,,50,3
176,,50,156
177,,50,42
178,,51,20
179,,51,131
180,,82,155
181,,52,194
182,,53,122
183,,53,51
184,,54,223
185,,54,184
186,,54,229
187,,55,23
188,,56,28
189,,83,19
190,,58,54
191,,59,111
192,,59,108
193,,60,133
194,,60,109
195,,62,178
196,,62,40
197,,62,149
198,,63,105
199,,63,137
200,,63,215
201,,63,212
202,,63,164
203,,63,50
204,,63,172
205,,64,24
206,,65,181
207,,65,204
208,,65,210
209,,66,221
210,,66,211
211,,66,148
212,,67,221
213,,68,14
214,,69,150
215,,69,75
216,,69,38
217,,69,37
218,,69,69
219,,69,26
220,,69,159
221,,70,106
222,,72,143
223,,72,39
224,,72,8
225,,73,140
226,,73,31
227,,73,67
228,,73,66
229,,74,154
230,,75,187
231,,75,136
232,,75,163
233,,76,22
234,,76,110
235,,76,70
236,,77,185
237,,77,80
238,,78,214
239,,78,227
240,,78,205
241,,79,214
242,,79,179
243,,79,117
244,,80,21
245,,81,135
246,,81,201
247,,81,45
248,,84,19
249,,85,19
250,,86,201
251,,86,218
252,,87,206
253,,87,212
254,,88,157
255,,89,10
256,,90,166
257,,91,91
258,,91,129
259,,92,114
260,,93,33
261,,94,169
262,,95,33
263,,96,56
264,,97,127
265,,98,145
266,,99,165
267,,100,61
268,,100,193
269,,101,13
