pk,jsondata,id,description,markup_description,language_pk,parameter_pk,contribution_pk,source
1,,128-7,,,128,7,1,
2,,128-12,,,128,12,1,
3,,128-13,,,128,13,1,
4,,128-15,,,128,15,1,
5,,128-24,,,128,24,1,
6,,128-25,,,128,25,1,
7,,128-39,,,128,39,1,
8,,54-7,,,54,7,1,
9,,54-8,,,54,8,1,
10,,54-10,,,54,10,1,
11,,54-11,,,54,11,1,
12,,54-17,,,54,17,1,
13,,54-18,,,54,18,1,
14,,54-19,,,54,19,1,
15,,54-20,,,54,20,1,
16,,54-24,,,54,24,1,
17,,54-25,,,54,25,1,
18,,54-27,,,54,27,1,
19,,54-28,,,54,28,1,
20,,73-39,,,73,39,1,
21,,73-40,,,73,40,1,
22,,73-43,,,73,43,1,
23,,46-3,,,46,3,1,
24,,46-4,,,46,4,1,
25,,46-19,,,46,19,1,
26,,46-20,,,46,20,1,
27,,46-21,,,46,21,1,
28,,46-24,,,46,24,1,
29,,46-32,,,46,32,1,
30,,46-38,,,46,38,1,
31,,46-41,,,46,41,1,
32,,13-3,,,13,3,1,
33,,13-14,,,13,14,1,
34,,13-16,,,13,16,1,
35,,13-20,,,13,20,1,
36,,13-28,,,13,28,1,
37,,13-31,,,13,31,1,
38,,153-31,,,153,31,1,
39,,153-40,,,153,40,1,
40,,135-4,,,135,4,1,
41,,135-7,,,135,7,1,
42,,135-9,,,135,9,1,
43,,135-10,,,135,10,1,
44,,135-11,,,135,11,1,
45,,135-20,,,135,20,1,
46,,135-21,,,135,21,1,
47,,135-32,,,135,32,1,
48,,42-20,,,42,20,1,
49,,42-27,,,42,27,1,
50,,21-31,,,21,31,1,
51,,21-38,,,21,38,1,
52,,21-40,,,21,40,1,
53,,83-3,,,83,3,1,
54,,83-19,,,83,19,1,
55,,83-21,,,83,21,1,
56,,23-3,,,23,3,1,
57,,23-19,,,23,19,1,
58,,23-31,,,23,31,1,
59,,23-37,,,23,37,1,
60,,23-41,,,23,41,1,
61,,51-40,,,51,40,1,
62,,18-3,,,18,3,1,
63,,18-19,,,18,19,1,
64,,18-20,,,18,20,1,
65,,18-23,,,18,23,1,
66,,18-41,,,18,41,1,
67,,33-3,,,33,3,1,
68,,33-14,,,33,14,1,
69,,33-19,,,33,19,1,
70,,33-20,,,33,20,1,
71,,147-5,,,147,5,1,
72,,147-9,,,147,9,1,
73,,147-10,,,147,10,1,
74,,147-24,,,147,24,1,
75,,104-14,,,104,14,1,
76,,104-20,,,104,20,1,
77,,104-21,,,104,21,1,
78,,42-19,,,42,19,1,
79,,80-19,,,80,19,1,
80,,80-34,,,80,34,1,
81,,80-40,,,80,40,1,
82,,80-41,,,80,41,1,
83,,77-12,,,77,12,1,
84,,77-14,,,77,14,1,
85,,77-24,,,77,24,1,
86,,12-1,,,12,1,1,
87,,12-2,,,12,2,1,
88,,12-19,,,12,19,1,
89,,12-20,,,12,20,1,
90,,12-38,,,12,38,1,
91,,19-9,,,19,9,1,
92,,19-13,,,19,13,1,
93,,18-21,,,18,21,1,
94,,18-22,,,18,22,1,
95,,18-24,,,18,24,1,
96,,133-24,,,133,24,1,
97,,133-29,,,133,29,1,
98,,35-3,,,35,3,1,
99,,35-9,,,35,9,1,
100,,35-11,,,35,11,1,
101,,35-16,,,35,16,1,
102,,35-21,,,35,21,1,
103,,35-31,,,35,31,1,
104,,35-34,,,35,34,1,
105,,35-35,,,35,35,1,
106,,35-38,,,35,38,1,
107,,5-9,,,5,9,1,
108,,5-11,,,5,11,1,
109,,17-9,,,17,9,1,
110,,17-25,,,17,25,1,
111,,17-27,,,17,27,1,
112,,17-43,,,17,43,1,
113,,110-22,,,110,22,1,
114,,110-38,,,110,38,1,
115,,90-1,,,90,1,1,
116,,90-5,,,90,5,1,
117,,90-16,,,90,16,1,
118,,90-40,,,90,40,1,
119,,150-7,,,150,7,1,
120,,150-8,,,150,8,1,
121,,41-39,,,41,39,1,
122,,129-38,,,129,38,1,
123,,105-32,,,105,32,1,
124,,96-24,,,96,24,1,
125,,96-38,,,96,38,1,
126,,154-38,,,154,38,1,
127,,154-42,,,154,42,1,
128,,124-3,,,124,3,1,
129,,91-31,,,91,31,1,
130,,74-31,,,74,31,1,
131,,42-3,,,42,3,1,
132,,141-3,,,141,3,1,
133,,141-26,,,141,26,1,
134,,6-42,,,6,42,1,
135,,107-40,,,107,40,1,
136,,92-14,,,92,14,1,
137,,92-38,,,92,38,1,
138,,92-19,,,92,19,1,
139,,92-22,,,92,22,1,
140,,92-33,,,92,33,1,
141,,71-24,,,71,24,1,
142,,45-27,,,45,27,1,
143,,48-16,,,48,16,1,
